timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim,application,app_filter_reason
2025-07-19T23:02:28.409924+0700,103.195.142.144,120.70.101.109,22,35038,TCP,flow,,596491106612476,,1,14,0,3060,0,4.0,14,3060,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.411055+0700,103.195.142.95,156.176.138.110,22,20774,TCP,flow,,375644130540832,,1,14,0,2478,0,5.0,14,2478,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.411139+0700,103.185.193.24,45.135.232.92,22,51146,TCP,flow,,40745814555993,,1,12,0,2558,0,4.0,12,2558,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.412187+0700,103.185.193.34,200.13.244.219,22,39578,TCP,flow,,185282685143332,,1,14,0,2586,0,5.0,14,2586,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.412379+0700,103.195.142.210,81.30.162.18,22,33819,TCP,flow,,88315075857048,,1,14,0,2706,0,5.0,14,2706,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.413147+0700,103.185.193.52,173.225.105.4,22,45658,TCP,flow,,947974166450737,,1,12,0,2714,0,11.0,12,2714,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.413726+0700,103.195.142.113,103.137.75.74,22,38046,TCP,flow,,199159351908181,,1,16,0,4821,0,4.0,16,4821,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.414893+0700,103.185.193.71,36.50.176.16,22,38856,TCP,flow,,742442433553373,,1,12,0,2066,0,2.0,12,2066,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:28.415050+0700,103.195.142.20,38.6.212.19,22,43980,TCP,flow,,17558556419649,,1,12,0,2561,0,13.0,12,2561,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:29.391365+0700,103.195.142.164,109.71.242.148,22,43412,TCP,flow,,80832553011206,,1,14,0,2586,0,6.0,14,2586,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:29.392407+0700,103.195.142.137,209.38.111.217,22,42536,TCP,flow,,1335509187743834,,1,14,0,2653,0,3.0,14,2653,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:29.397641+0700,103.195.142.171,193.32.162.157,22,32870,TCP,flow,,1559713349893776,,1,14,0,2718,0,16.0,14,2718,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:29.399328+0700,103.185.193.48,104.248.149.17,22,36844,TCP,flow,,425663189685738,,1,12,0,2691,0,5.0,12,2691,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:29.399453+0700,103.195.142.92,152.32.175.165,22,52636,TCP,flow,,712241820146098,,1,15,0,2784,0,4.0,15,2784,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.374441+0700,103.185.193.36,45.140.17.124,22,49372,TCP,flow,,751853368846198,,1,9,0,2954,0,4.0,9,2954,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.377031+0700,103.185.193.40,14.103.118.114,22,33748,TCP,flow,,2222038817389423,,1,11,0,7505,0,121.0,11,7505,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.377647+0700,103.185.193.42,93.188.83.96,22,52838,TCP,flow,,1339471322562942,,1,13,0,2504,0,3.0,13,2504,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.380624+0700,103.195.142.95,156.176.138.110,22,20791,TCP,flow,,1115118573214862,,1,13,0,2848,0,4.0,13,2848,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.380911+0700,103.185.193.17,179.43.189.98,22,60464,TCP,flow,,479255649280028,,1,12,0,2714,0,6.0,12,2714,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.381717+0700,103.195.142.6,101.36.121.88,22,45242,TCP,flow,,1073692669341071,,1,15,0,3688,0,5.0,15,3688,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:30.382339+0700,103.195.142.119,104.193.255.123,22,46770,TCP,flow,,1274734135310341,,1,13,0,2780,0,4.0,13,2780,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.356123+0700,103.195.142.6,179.43.189.98,22,56676,TCP,flow,,392527805250150,,1,12,0,2714,0,6.0,12,2714,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.356576+0700,103.185.193.58,103.59.200.5,22,44716,TCP,flow,,2051368070905357,,1,14,0,2706,0,2.0,14,2706,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.357043+0700,103.195.142.212,156.176.138.110,22,20825,TCP,flow,,1958554991558919,,1,9,0,2098,0,2.0,9,2098,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.357085+0700,103.185.193.75,91.171.4.7,22,1677,TCP,flow,,1007189846163842,,1,13,0,2472,0,4.0,13,2472,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.357931+0700,103.195.142.123,117.54.148.142,22,35349,TCP,flow,,1597832821966804,,1,16,0,3311,0,2.0,16,3311,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.357973+0700,103.195.142.156,185.93.89.52,22,55021,TCP,flow,,916327341394114,,1,20,0,3050,0,20.0,20,3050,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.358525+0700,103.185.193.48,104.248.149.17,22,43294,TCP,flow,,1953841827908676,,1,12,0,2691,0,2.0,12,2691,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.359157+0700,103.185.193.40,80.94.95.15,22,21137,TCP,flow,,1422888376570753,,1,20,0,3097,0,19.0,20,3097,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.360013+0700,103.195.142.144,196.251.88.103,22,42298,TCP,flow,,1520190226144203,,1,13,0,2994,0,3.0,13,2994,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.361272+0700,103.185.193.52,103.189.235.93,22,37446,TCP,flow,,1735777907549637,,1,14,0,2706,0,2.0,14,2706,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.362193+0700,103.195.142.198,179.43.189.98,22,43586,TCP,flow,,249715688321043,,1,1,0,60,0,0.0,1,60,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.362447+0700,103.185.193.42,170.233.148.140,22,35168,TCP,flow,,505693086594431,,1,13,0,2780,0,7.0,13,2780,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.362491+0700,103.195.142.43,181.114.105.85,22,60358,TCP,flow,,1567743553418964,,1,13,0,2418,0,4.0,13,2418,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.362583+0700,103.195.142.92,152.32.175.165,22,58072,TCP,flow,,1876787426539495,,1,15,0,2784,0,2.0,15,2784,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.363037+0700,103.195.142.43,181.114.105.85,22,60340,TCP,flow,,748033090174513,,1,13,0,2418,0,6.0,13,2418,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.363267+0700,103.195.142.210,122.155.223.9,22,49304,TCP,flow,,1901488339206397,,1,14,0,2706,0,3.0,14,2706,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.363807+0700,103.195.142.212,156.176.138.110,22,20785,TCP,flow,,806433083345923,,1,14,0,2478,0,6.0,14,2478,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.364206+0700,103.185.193.63,196.251.88.103,22,49408,TCP,flow,,388599469167419,,1,13,0,2780,0,7.0,13,2780,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:31.364233+0700,103.185.193.63,143.244.134.97,22,34378,TCP,flow,,1013760317248432,,1,14,0,2706,0,5.0,14,2706,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:32.343471+0700,103.195.142.22,197.255.229.67,22,41648,TCP,flow,,172656963682253,,1,12,0,2713,0,9.0,12,2713,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:32.345682+0700,103.195.142.236,222.213.23.47,22,40026,TCP,flow,,356307173447574,,1,15,0,3876,0,9.0,15,3876,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.321362+0700,103.195.142.244,103.179.57.150,22,53058,TCP,flow,,92939241206730,,1,14,0,2706,0,3.0,14,2706,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.323499+0700,103.195.142.30,103.23.198.244,22,40764,TCP,flow,,1983150321385906,,1,14,0,2586,0,3.0,14,2586,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.324024+0700,103.195.142.144,120.70.101.109,22,36498,TCP,flow,,1879608134289209,,1,14,0,3060,0,5.0,14,3060,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.326802+0700,103.195.142.212,156.176.138.110,22,20805,TCP,flow,,1311011451985609,,1,14,0,2478,0,5.0,14,2478,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.326977+0700,103.185.193.40,196.251.84.225,22,44414,TCP,flow,,1444952195489834,,1,13,0,3365,0,5.0,13,3365,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.328124+0700,103.195.142.220,134.199.149.5,22,44971,TCP,flow,,345012832922653,,1,1,0,60,0,0.0,1,60,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
2025-07-19T23:02:33.329072+0700,103.195.142.43,167.71.204.253,22,55048,TCP,flow,,2032431550461598,,1,14,0,2586,0,3.0,14,2586,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1,ssh,port
