Feature,Correlation,Abs_Corr
has_alert,1.0,1.0
Target_prelim,1.0,1.0
label_source,1.0,1.0
label_reason,1.0,1.0
label_evidence_alert,1.0,1.0
evidence_alert,1.0,1.0
label_confidence,0.9999999999999991,0.9999999999999991
label_status,-0.9999999999999987,0.9999999999999987
label_status_final,0.9999999999999972,0.9999999999999972
alert_signature_id,0.9971798913614714,0.9971798913614714
alert_severity,0.9753938775317597,0.9753938775317597
has_high_values,0.8597823782673878,0.8597823782673878
row_sum,0.8567455466667137,0.8567455466667137
row_mean,0.856745546158483,0.856745546158483
row_max,0.856744914379385,0.856744914379385
ratio_max_to_min,0.856744914379385,0.856744914379385
pkt_src,0.856744914139718,0.856744914139718
row_std,0.856744889586622,0.856744889586622
event_type,0.8295423890595107,0.8295423890595107
alert_signature,0.4120880496869201,0.4120880496869201
alert_category,-0.402866683271416,0.402866683271416
has_low_variance,-0.35278505051865644,0.35278505051865644
log_total_pkts,0.334756826737142,0.334756826737142
ratio_sum_to_count,0.3135934100916116,0.3135934100916116
pkts_toserver,0.3123602286377348,0.3123602286377348
total_pkts,0.29491149121420657,0.29491149121420657
bytes_toserver,0.2894441942340029,0.2894441942340029
norm_4,0.28944419029322144,0.28944419029322144
interact_1_5,-0.2862601787759306,0.2862601787759306
pkts_per_sec,-0.2694292309464052,0.2694292309464052
dest_ip,0.26675402051933406,0.26675402051933406
pkts_toclient,0.2601601089905063,0.2601601089905063
log_total_bytes,0.2573047093320324,0.2573047093320324
log_duration,-0.2567241992459167,0.2567241992459167
bytes_toserver_ratio,0.21081023082627973,0.21081023082627973
norm_5,0.21081023013984537,0.21081023013984537
app_proto,0.20497937028695104,0.20497937028695104
app_filter_reason,-0.18730997535044505,0.18730997535044505
pkts_toserver_ratio,0.17936980762975108,0.17936980762975108
interact_1_6,-0.1702085542838928,0.1702085542838928
src_ip,-0.1676936886722304,0.1676936886722304
dport_is_http,-0.16256069590619024,0.16256069590619024
norm_8,-0.16256069590619024,0.16256069590619024
is_sparse,-0.16033289494396216,0.16033289494396216
has_flow,0.16033289494396216,0.16033289494396216
interact_0_13,-0.15405329431499848,0.15405329431499848
interact_0_5,0.14356733708601765,0.14356733708601765
interact_0_14,0.09751198954198662,0.09751198954198662
dport_is_https,0.0912462532550223,0.0912462532550223
norm_9,0.0912462532550223,0.0912462532550223
interact_0_9,0.09097685030920752,0.09097685030920752
bytes_per_pkt,0.08608507159486854,0.08608507159486854
norm_0,0.08608507159416508,0.08608507159416508
interact_0_12,0.08608507156041492,0.08608507156041492
norm_1,-0.0822460002513587,0.0822460002513587
bytes_per_sec,-0.08224599998334539,0.08224599998334539
interact_0_4,0.07722048349247591,0.07722048349247591
total_bytes,0.0736532564359173,0.0736532564359173
duration,-0.06803673462835404,0.06803673462835404
row_nonzero,-0.06513020200668088,0.06513020200668088
interact_0_6,0.06145874339678782,0.06145874339678782
interact_0_3,0.057895349165212766,0.057895349165212766
interact_1_3,-0.053607338088687596,0.053607338088687596
interact_0_11,-0.05044303025057899,0.05044303025057899
bytes_toclient,0.05029635546816524,0.05029635546816524
norm_2,0.05029635527234572,0.05029635527234572
norm_3,-0.0438228764075892,0.0438228764075892
bytes_toclient_ratio,-0.043822869817441525,0.043822869817441525
interact_1_4,-0.04232488669606839,0.04232488669606839
interact_0_2,0.04012602999372013,0.04012602999372013
interact_0_1,-0.038226720623853204,0.038226720623853204
interact_1_2,-0.027768922528419976,0.027768922528419976
pkts_toclient_ratio,0.024918722605488677,0.024918722605488677
src_port,-0.024108184334041036,0.024108184334041036
flow_id,0.02315111854947279,0.02315111854947279
timestamp,0.022376107992474657,0.022376107992474657
interact_0_10,0.019322541720965584,0.019322541720965584
dport_is_ssh,0.016953065000930117,0.016953065000930117
window_start,-0.011441454381141346,0.011441454381141346
interact_0_8,0.006022830551595309,0.006022830551595309
norm_6,-0.005014064413806582,0.005014064413806582
dest_port,-0.005014063605732969,0.005014063605732969
