application,input_shards,input_rows,usable_rows,feature_rows,possible_probe_rows,possible_probe_percentage_of_windows,feature_path,candidates_path,src_ip_summary_path
dns,1,4799,4799,361,0,0.0,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=dns\src_ip_window_features.parquet,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=dns\probing_candidates.csv,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=dns\src_ip_probing_summary.csv
http,1,1799,1799,520,0,0.0,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=http\src_ip_window_features.parquet,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=http\probing_candidates.csv,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=http\src_ip_probing_summary.csv
tls,1,2451,2451,1232,0,0.0,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=tls\src_ip_window_features.parquet,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=tls\probing_candidates.csv,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=tls\src_ip_probing_summary.csv
ssh,1,24905,24905,5024,33,0.6568471337579618,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=ssh\src_ip_window_features.parquet,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=ssh\probing_candidates.csv,D:\Program\TA\storage\eve_v2_work\results\phase3_probing\app=ssh\src_ip_probing_summary.csv
