timestamp,src_ip,dest_ip,src_port,dest_port,proto,event_type,app_proto,flow_id,pkt_src,has_flow,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,duration,total_pkts,total_bytes,has_alert,alert_category,alert_severity,alert_signature,alert_signature_id,label_evidence_alert,label_evidence_compromised_ip,label_status,label_reason,Target_prelim
2025-11-27T13:23:24.575356+0000,159.89.139.75,10.0.9.71,51546,5900,TCP,alert,rfb,1242788509214010.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:23:24.784355+0000,159.89.139.75,10.0.9.71,51546,5900,TCP,rfb,,1242788509214010.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:25.621349+0000,1.13.168.53,10.0.9.71,50770,5900,TCP,alert,rfb,1142124640344094.0,wire/pcap,1,4,2,284,152,0.0,6,436,1,Misc activity,3,GPL INFO VNC server response,2100560,1,0,malicious_evidence,valid_alert,1
2025-11-27T13:23:25.820944+0000,176.65.149.154,10.0.9.71,56840,9100,TCP,flow,,73909537558718.0,,1,14,22,932,1592,198.0,36,2524,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:25.839384+0000,115.231.78.3,10.0.9.71,11106,8800,TCP,flow,,1038949779462460.0,,1,2,1,120,58,0.0,3,178,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:25.971851+0000,1.13.168.53,10.0.9.71,50770,5900,TCP,rfb,,1142124640344094.0,wire/pcap,0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:26.740472+0000,192.168.112.2,176.65.149.154,9100,38270,TCP,flow,,1768975022911018.0,,1,1,0,66,0,0.0,1,66,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:27.736354+0000,192.168.112.2,176.65.149.154,9100,56850,TCP,flow,,1768731030292039.0,,1,1,0,66,0,0.0,1,66,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:29.727985+0000,192.168.112.2,176.65.149.154,9100,60152,TCP,flow,,1769021735678507.0,,1,1,0,66,0,0.0,1,66,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
2025-11-27T13:23:31.492119+0000,91.231.222.170,10.0.9.71,59392,64295,TCP,ssh,,1262531430582953.0,stream (detect/log),0,0,0,0,0,0.0,0,0,0,none,0,none,0,0,0,no_alert_unknown,no_alert_not_final_benign,-1
