application,event_type,count
dns,flow,4512
dns,alert,287
http,flow,1192
http,alert,492
http,fileinfo,71
http,http,30
http,anomaly,12
http,tls,2
tls,flow,2053
tls,alert,213
tls,tls,172
tls,http,13
ssh,flow,14373
ssh,alert,7865
ssh,ssh,2651
ssh,anomaly,15
ssh,http,1
